resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon,
"Stevens Pass, WA",Washington,5845,4601,1800,10,37,1125,0.11,123.75,0.54,607.5,0.35,393.75,47.4712,-120.34954,272
"White Pass, WA",Washington,6550,4500,2050,8,47,1402,0.15,210.3,0.65,911.3,0.2,280.4,46.64,-121.39,297
"Snowshoe Mountain, WV",West Virginia ,4848,3348,1500,15,60,230,0.42,96.6,0.3,69,0.28,64.4,39.32069,-77.84902,246
"Timberline Four Seasons, WV",West Virginia ,4268,3268,1000,4,37,100,0.34,34,0.32,32,0.34,34,39.04342,-79.40466,196
"Winterplace, WV",West Virginia ,3600,2997,693,11,28,90,0.41,36.9,0.44,39.6,0.15,13.5,39,-76.70417786,151
"Alpine Valley, WI",Wisconsin,,,388,16,20,90,0.4,36,0.4,36,0.2,18,42.45,-88.25,84
"Camp 10, WI",Wisconsin,,,240,4,14,120,0.4,48,0.4,48,0.2,24,45.4,-88.22,31
"Christie Mountain, WI",Wisconsin,1650,1300,350,5,21,100,0.4,40,0.25,25,0.35,35,44,-89.85958099,75
"Christmas Mountain, WI",Wisconsin,1250,1000,250,3,10,40,0.4,16,0.4,16,0.2,8,43.60976,-89.86244,38
"Grand Geneva, WI",Wisconsin,1086,874,211,6,18,14,0.3,4.2,0.4,5.6,0.3,4.2,44.36656,-89.73051,19
"Hidden Valley, WI",Wisconsin,,,200,2,7,50,0.25,12.5,0.5,25,0.25,12.5,43.03,-88.18,14
"Highlands of Olympia, WI",Wisconsin,,,205,,3,5,0.5,2.5,0.3,1.5,0.2,1,43.79,-88.79,17
"Mt. La Crosse, WI",Wisconsin,1110,594,516,4,18,100,0.3,30,0.4,40,0.3,30,43.79,-91.24,125
"Nordic Mountain, WI",Wisconsin,1137,872,265,6,16,60,0.15,9,0.5,30,0.35,21,45.19,-88.49,44
"Standing Rocks, WI",Wisconsin,,,125,3,5,300,0.25,75,0.5,150,0.25,75,44.43316,-89.38066,5
"The Rock, WI",Wisconsin,290,245,60,5,8,75,0.2,15,0.5,37.5,0.3,22.5,43.22008,-90.29434,1
"Whitecap Mountains, WI",Wisconsin,1750,1350,400,9,43,500,0.33,165,0.33,165,0.34,170,43.79,-88.79,87
"Grand Targhee, WY",Wyoming,10000,7408,2419,5,72,3000,0.1,300,0.7,2100,0.2,600,43.74,-111.07,324
"Jackson Hole, WY",Wyoming,10450,6311,4139,12,116,2500,0.1,250,0.4,1000,0.5,1250,43.7,-111.07,359
"Sleeping Giant, WY",Wyoming,7428,6619,810,3,49,184,0.15,27.6,0.41,75.44,0.44,80.96,44.49274,-109.9395,172
"Snowy Range, WY",Wyoming,10000,9000,1000,5,27,250,0.3,75,0.4,100,0.3,75,41.17,-106.24,193
